"year","title","artists","All artist","main_artist","genius_url","lyrics"
2011,"I Don't Want This Night To End","Luke Bryan",NA,"Luke Bryan","https://genius.com/Luke-bryan-i-dont-want-this-night-to-end-lyrics",NA
2011,"Take A Back Road","Rodney Atkins",NA,"Rodney Atkins","https://genius.com/Rodney-atkins-take-a-back-road-lyrics",NA
2011,"Barefoot Blue Jean Night","Jake Owen",NA,"Jake Owen","https://genius.com/Jake-owen-barefoot-blue-jean-night-lyrics",NA
2011,"Keep Me In Mind","Zac Brown Band",NA,"Zac Brown Band","https://genius.com/Zac-brown-band-keep-me-in-mind-lyrics",NA
2010,"Why Don't We Just Dance","Josh Turner",NA,"Josh Turner","https://genius.com/Josh-turner-why-dont-we-just-dance-lyrics",NA
2010,"Consider Me Gone","Reba",NA,"Reba","https://genius.com/Reba-mcentire-consider-me-gone-lyrics",NA
2010,"The Man I Want To Be","Chris Young",NA,"Chris Young","https://genius.com/Chris-young-the-man-i-want-to-be-lyrics",NA
2010,"Ours","Taylor Swift",NA,"Taylor Swift","https://genius.com/Taylor-swift-ours-lyrics",NA
2010,"The House That Built Me","Miranda Lambert",NA,"Miranda Lambert","https://genius.com/Miranda-lambert-the-house-that-built-me-lyrics",NA
2010,"Don't You Wanna Stay","Jason Aldean",NA,"Jason Aldean","https://genius.com/Jason-aldean-dont-you-wanna-stay-lyrics",NA
2010,"Gimmie That Girl","Joe Nichols",NA,"Joe Nichols","https://genius.com/Joe-nichols-gimmie-that-girl-lyrics",NA
2010,"American Honey","Lady Antebellum",NA,"Lady Antebellum","https://genius.com/Lady-a-american-honey-lyrics",NA
2010,"Mean","Taylor Swift",NA,"Taylor Swift","https://genius.com/Taylor-swift-mean-lyrics",NA
2010,"The Truth","Jason Aldean",NA,"Jason Aldean","https://genius.com/Jason-aldean-the-truth-lyrics",NA
2009,"Need You Now","Lady Antebellum",NA,"Lady Antebellum","https://genius.com/Lady-a-need-you-now-lyrics",NA
2009,"Big Green Tractor","Jason Aldean",NA,"Jason Aldean","https://genius.com/Jason-aldean-big-green-tractor-lyrics",NA
2009,"It Won't Be Like This For Long","Darius Rucker",NA,"Darius Rucker","https://genius.com/Darius-rucker-it-wont-be-like-this-for-long-lyrics",NA
2009,"You Belong With Me","Taylor Swift",NA,"Taylor Swift","https://genius.com/Taylor-swift-you-belong-with-me-lyrics",NA
2009,"Sideways","Dierks Bentley",NA,"Dierks Bentley","https://genius.com/Dierks-bentley-sideways-lyrics",NA
2009,"Then","Brad Paisley",NA,"Brad Paisley","https://genius.com/Brad-paisley-then-lyrics",NA
2009,"Smile","Uncle Kracker",NA,"Uncle Kracker","https://genius.com/Uncle-kracker-smile-lyrics",NA
2009,"Out Last Night","Kenny Chesney",NA,"Kenny Chesney","https://genius.com/Kenny-chesney-out-last-night-lyrics",NA
2009,"People Are Crazy","Billy Currington",NA,"Billy Currington","https://genius.com/Billy-currington-people-are-crazy-lyrics",NA
2009,"She Wouldn't Be Gone","Blake Shelton",NA,"Blake Shelton","https://genius.com/Blake-shelton-she-wouldnt-be-gone-lyrics",NA
2008,"Letter To Me","Brad Paisley",NA,"Brad Paisley","https://genius.com/Brad-paisley-letter-to-me-lyrics",NA
2008,"You Belong With Me","Taylor Swift",NA,"Taylor Swift","https://genius.com/Taylor-swift-you-belong-with-me-lyrics",NA
2008,"You're Gonna Miss This","Trace Adkins",NA,"Trace Adkins","https://genius.com/Trace-adkins-youre-gonna-miss-this-lyrics",NA
2008,"White Horse","Taylor Swift",NA,"Taylor Swift","https://genius.com/Taylor-swift-white-horse-lyrics",NA
2008,"Chicken Fried","Zac Brown Band",NA,"Zac Brown Band","https://genius.com/Zac-brown-band-chicken-fried-lyrics",NA
2008,"Just Got Started Lovin' You","James Otto",NA,"James Otto","https://genius.com/James-otto-just-got-started-lovin-you-lyrics",NA
2008,"I'm Still A Guy","Brad Paisley",NA,"Brad Paisley","https://genius.com/Brad-paisley-im-still-a-guy-lyrics",NA
